GENEID_7165,GENEID_9606
1276346,34
1275626,37
1270608,38
1269509,90
1273584,158
1280393,175
1271017,210
1273856,212
1277818,435
1280886,538
1269704,594
1269399,1311
1278476,1371
1279874,1376
1281003,1738
1270511,1806
c(1275529, 3291783),2052
1280516,2071
1278847,2108
1276533,2184
1271452,2235
1281238,2271
1269881,2519
1273050,2584
1274595,2592
1272619,2632
1277470,2639
1277049,2643
1280518,2821
1271707,2937
1273861,2956
1278181,3030
1280821,3032
1278983,3081
3291232,3145
1275567,3155
1274042,6448
1276448,3423
1275283,3425
1273981,182
1280180,3978
1280495,4292
1279706,4436
1279657,4547
1278996,4668
1280890,4669
1278302,5727
1273814,4763
1276614:1276613,4860
1277820,4864
1278432,4942
3291116,4952
1276381,5053
1278448,5184
4577821,5193
1276918,5191
4576002,5256
1280244,5257
1270587,5373
1274381,5498
3292014,5728
1275581,5805
1271126,5828
1273428,5860
1272201,6444
1280052,7051
1276690,7054
1273997,7372
1280765,7389
1278041,7498
4577251,642
1276776,788
c(1272629, 1268809),1121
1272969,2068
1272189,2132
1280425,2582
1274580,2820
1275515,3295
1276768,5019
1273006,5664
1272692,6647
1273829,6794
1271079,6821
1269402,3172
1282039,275
1276396,353
1279486,3074
1269366,7436
1280729,6609
1270802,7249
1275254,6648
1281968,178
1270119,18
1281827,43
3289716,151
1272312,191
1273808,593
1281857,645
1271819,706
4578503,776
1272129,1136
1270461,1137
1275447,1139
1272986,1141
1269192,1621
1280045,1644
1272239,2562
1276534,2571
1279199,2618
1276973,2677
1275196,2906
1274862,2918
4576149,2983
1270820,2987
1280335,4887
1272627,5162
1278148,5430
1274316,5431
1270014,5479
1276738,5557
1276999,5558
1274215,6122
1273663,6124
1269649,6141
1279638,6152
1271556,6156
1276124,6158
4577344,6173
1281216,6188
1277655,6193
1278269,6217
11175684,6228
1269957,6232
1279619,6240
1269812,6530
1281581,6870
1279885,7153
1272582,7298
1273834,7915
1275495,8654
1281666,8985
1278314,14
1279572,47
1278105,50
1273746,102
1272181,115
1281786,10227
4576491,267
1277476,318
c(1269874, 4576426, 1269875, 3292495),331
1275644,384
1280517,396
1276339,406
1277397,501
1277962,650
1272019,662
1272654,813
1277560,902
1269539,996
1276486,1021
1277834,1111
1272147,1155
1270427,53405
1278566,9079
1280008,1261
1272338,1264
1273549,1362
1275617,1389
1272510,1434
1273194,1477
1272933,1479
1273246,1519
1277437,1603
1276262,1615
5668164,1616
1277182,1660
1270778,1665
1281078,1723
1278486,1736
1269175,1767
1269553,1769
1279761,58511
1281103,1778
1277824,1798
1270420,1802
1269371,1819
1278166,1889
1273299,1891
c(1274318, 1268479, 1268536),1967
1270682,2091
1281488,2137
1274482,2316
1279704,2550
4576455,2622
c(4577222, 11176059),2631
1281235,2647
1281664,2729
1271351,2959
1275295,2966
1277449,2967
1274077,2972
1280613,3191
1277552,3396
1270140,3646
1272206,5080
1279087,16
1279196,36
1273575,53
1273904,142
1269521,204
1278992,262
1278924,328
1280247,347
1272520,372
1270190,382
1270390,402
c(1280592, 1280570),506
1282029,515
1273084,526
1276512,528
1273561,529
1274263,539
1270586,549
1277670,7006
1274295,680
1274867,821
1280406,833
1272849,908
1269634,989
1273315,1022
1274834,1036
1275332,1211
1280160,1284
1271961,790
1270451,1393
1270790,1428
1270758,1491
1270538,1499
1271675,1629
1273487,1642
1277129,1725
1279654,143098
1270895,1743
1280450,1849
c(1275337, 3291128),1933
1279280,1974
1278845,2067
1277298,2109
1270615,2199
4578432,2201
1269998,2224
1280873,2339
1281446,2342
1278801,2531
1274484,2551
1275455,2617
1280630,2730
1278507,2799
1273967,2805
1279074,2806
1280872,2885
1273190,2962
1272323,3035
1276514,3157
1278421,3242
1275989,3308
1278824,3329
1278631,3628
1269890,48
1279631,3670
1269360,3706
1277082,3708
1270283,3712
1276998,3725
1274388,3778
1279333,3837
1279204,3838
1271502,3843
1281797,3913
1269597,3915
1271687,3981
1280929,3984
1273942,4017
1280340,4035
1280870,4040
1272340,4085
1272644,7975
1282031,4172
1276054,4245
1274542,4247
1279954,4331
1272223,4351
4575958,4478
1274807,4507
1281504,4528
1281561,4597
1274965,4615
1280674,4682
1281974,4686
c(1267544, 1275005),4700
1281463,4728
1276754,4756
1270310,4791
1275579,4799
1274294,4907
5667646,4927
1276867,4931
1280843,4953
1281270,4968
1281848,5045
1270425,5049
1272970,5058
1279643,5111
1276268,5134
1277681,5138
1280884,5147
1276218,5150
1279505,5194
1272789,5204
1276527,5236
1271235,5245
1270657,5277
1279696,5289
1270776,5335
1276316,5356
1275918,5427
1272128,5428
1278625,5432
1279496,5434
1281372,5436
1269382,5459
1277813,5495
1279257,5510
1271515,5531
1280128,5550
1269639,5586
1272204,23683
1275924,5589
1282062,5604
1270450,5636
1281126,5683
1281150,5684
1275771,5685
1275676,5686
1278761,5687
1276122,143471
1275817,5689
1279804,5690
1281478,5691
c(1278250, 1268428),5692
1278270,5695
1273890:1273891,5700
1270756,5701
1271616,5702
1269903,5705
1281429,5707
1273478,5708
1280037,5709
1280542,5713
1281739,5717
1276217,5718
1281522,5719
1271954,10197
1269975,5775
1282054,5780
1273523,5781
1274091,5787
1271802,5825
1273445,5832
1280227,5833
1278016,5837
11175541,5888
1281247,5906
1273239,5921
1281933,5924
1279611,5955
1272693,4771
1282033,5976
1281887,5981
1280005,5983
1277215,6000
1274841,6014
1281040,6045
1277863,246243
1269374,6059
3292147,6091
1272261,6098
1281755,6117
1271180,6182
1279594,6184
1269588,6185
1281377,6256
1269860,6390
1272475,6391
1279996,6453
1279174,6529
1274624,6571
1272575,6595
1282012,6598
1273789,6601
1269557,6627
1280217,6643
1280475:1280474,6646
1271050,6653
1278066,6675
1277275,6709
1271052,6711
c(1279366, 1270182),6728
1275923,6729
1271053,6734
1279920,6741
1281453,6745
1276528,6746
1272929,6812
4576284,6829
1270921,6832
1277131,6834
1273579,6868
1271730,7003
1276444,7009
1281006,7020
1275947,10139
1270877,7150
1275088,7165
1275087,7174
1281752,7184
1276900,7260
1277859,7264
1275012,7265
1273218,5611
1270103,7284
1272120,7322
1269310,7326
1280964,7351
1277130,7358
1270764,7411
1281191,7443
1269703,7464
1279344,7514
1278846,7802
1275558,7803
1272596,7855
1277443,7874
1273558,8065
1276109,8260
1280711,8318
1278413,8398
1269095,8402
1271816,8439
1280046,8449
1269506,8450
1277848,8452
1274269,8453
1277942,8454
1277417,8460
1281324,6790
4577832,8468
1280339,8480
1279145,9497
1271122,8491
1272699,8496
1273455,8504
1278797,8518
1269169,8520
3291589,8521
1270295,8526
1277056,8533
1274507,8540
1273662,8559
1276617,8564
1272950,8565
1276596,8566
4577273,8573
1279194,8575
1279258,8615
1269950,8622
3292077,8625
1280018,8633
1278400,8634
1278050,8642
1271767,8646
1273627,8661
1280537,8662
1278503,8663
1273630,8664
1273028,8665
1269559,8666
1280165,8667
1277192,8668
1277363,8675
1271595,8678
1272158,64976
1278444,8704
1280482,8720
1275816,8721
1270830,8727
1272829,8731
c(1276317, 3292664),8774
1273863,8775
1279416,8780
1278146,8799
1274499,8801
1278481,8803
3290518,8811
1279285,8813
1275609,8815
3289620,3631
1276235,8834
1277260,8836
1281450,8879
1275908,8881
1274560,8882
5666778,8893
1269913,8894
1273668,8896
1274441,8905
1278800,8932
1280071,6767
1271225,8991
1274777,9039
1276584,9040
1274858,9043
c(1272316, 1280952),9049
c(1270048, 3290294),9058
c(1277734, 1269086),8424
1269185,4882
4578014,109
1271643,271
1278336,408
1281753,471
1274812,498
1271245,533
1273040,705
1270771,56267
1269974,1173
1281473,1175
1274028,1639
1280816,1892
1270736,1965
1276117,2232
1278246,2237
1275765,2873
1269655,4713
1271338,4733
1275743,5576
1272618,6389
1278659,6470
1280333,6634
1272195,6720
1279764,7453
1277908,9131
1269289,9158
1273486,9296
1281656,9319
1279264,51209
1275469,9373
1275812,9403
1269314,9412
1280098,9440
1273296,9442
1273138,9443
1276291,9477
1281168,9487
1270421,9512
1274935,9567
1270392,9615
1279446,9618
1276974,22
c(1269085, 1277733),7046
1274111,617
1278538,673
1281445,901
1275526,54926
1273077,1181
1280390,1265
1279675,1314
1277364,1337
1272595,1353
1280091,1656
1279069,1677
1273316,4735
c(1273922, 1268272),1787
c(4575989, 1271727),2079
1276560,2110
1274286,2181
1277791,1803
1273306,2193
1276466,2262
1271526,2319
1273449,2483
1279509,2590
1270601,2801
1274516,2958
1281472,3422
1277157,3611
1272103,3796
1274119,4171
1278183,4716
1277067,4722
1277163,5071
1275028,5106
1272824,5188
11175477,5876
1275633,6341
1280995,6626
1278762,6633
5667642,6902
1281587,7084
1279455,7156
1272949,7189
1276220,7247
1277407,7818
1274794,8106
1279518,8239
1275113,5927
1279299,8697
1280824,8924
1274382,9070
4576076,8404
1274488,9112
1272314,9114
1269414,9128
1268691,9129
1281051,9130
1276034,9136
1270617,9145
1273282,9147
1275274,9184
1279737,2107
1270141,9197
1278426,9276
3291255,9342
1276155,9352
1273169,9353
1281494,9354
1272588,9361
1269276,9409
1271405,9410
1278134,9416
1276717,9439
11175450,9451
1279507,9455
1271014,9474
1271531,9488
1272931,1213
1269714,9519
1277606,9526
c(1275630, 3292561),9533
1277846,9538
1268574,9552
1269056,9554
1270086,9588
1276705,9609
1278091,832
1276441,1020
c(5667635, 1273940),1497
