106582_GENEID,9606_GENEID
101471933,7105
101472516,64102
101473288,8813
101468098,57147
101468406,55732
101484395,2268
101480239,2519
101472352,2729
101483492,4800
101478666,90529
101477885,57185
101482036,22875
101467463,6405
101468868,6405
101473042,1080
101476781,54467
101487063,1595
101486773,889
101463935,5893
101480952,51056
101475421,9957
101467347,26
112436275,51384
101465510,51384
101473321,23072
101470681,8379
101487384,3927
101474580,3927
101475404,29916
101468482,4074
101480528,90293
101471303,56603
101475073,3382
101471994,79007
101480076,57679
101470036,843
101464799,8837
101483922,55471
101486475,10181
101479475,9108
101465793,9108
101471715,381
101477376,381
101479960,23098
101471182,26073
101484205,23129
101477355,204
112430163,204
101478770,952
101479062,952
101479335,952
101485455,2288
101466759,23028
101469174,10180
101469769,84254
101483702,84254
101473464,5965
101463810,55610
101483425,126393
101466748,4706
101483754,5166
101487505,85413
101479600,51364
101478288,170302
101482508,10165
101464802,7982
101466261,996
101487268,6521
101486505,6521
101487735,799
101478944,3052
101472481,1856
101481587,5976
101486461,5976
101484288,8935
101464643,292
112429990,55013
101488016,55013
101467764,3207
101486043,5439
101468824,56919
101468506,4222
101473848,221981
101475584,221981
101481263,3980
101482922,79657
101471931,81691
101474357,57019
101481068,56928
101473396,80256
101484380,51226
101466942,5577
101467588,10943
101467023,1387
101476833,1387
101484890,9256
101475101,5444
101475704,5444
101477039,6936
101468758,84058
101470173,54677
101470858,5244
101483461,55904
101473436,30812
101484532,30812
101481884,25998
101483631,26224
101486563,26224
101472257,5164
101470540,3675
101482780,3920
101484030,51666
101468031,51573
101475968,51573
101477587,9244
101472738,9244
101465315,9244
101473373,114881
101485211,114881
101478863,26022
101481340,51087
101468797,9020
101468753,9020
101476511,6833
101465780,10368
101478451,10368
101477501,54972
101486723,163
101478992,6863
101479077,64847
112431158,64847
112429799,64847
101479737,8913
101483455,1750
101472971,4293
101477841,5898
101478051,55971
101478800,55971
101484672,80853
101471299,2115
101476009,55750
101479681,221
101480450,221
101479424,221
101478994,221
101463892,55001
101479985,57157
101483569,9855
101481129,10083
101475529,79017
101469330,10926
101468725,6915
101473056,3475
101468553,56891
101479655,56891
101486653,56891
112431272,56891
101473802,56891
101472949,1352
101478956,9569
101466061,54623
101476720,27072
101484345,9912
101463982,9912
101483694,60528
101481862,85477
101470229,414
101476362,8228
101486586,79602
101472253,151531
101472647,57787
101485798,57787
101473425,8842
101478299,8842
101472964,115098
101473999,5048
101475205,5048
101473349,9703
101476230,9058
101477253,8522
101481278,8522
101487714,79090
101468703,4145
101482826,6329
101463809,54879
101483897,5080
101470819,113000
101479439,64285
101466474,64285
101479367,55692
101472221,9254
101483348,9254
101464436,115939
101484525,9091
101483890,57585
101464004,7005
101477116,7005
101469571,6401
101465241,55735
101481906,55735
101481531,29116
101470453,5689
101480184,3720
101482766,6792
101478602,6792
101478990,57172
101475130,57172
101466870,728642
101481624,65220
101472236,7021
101471963,83741
101475319,9940
101486233,9265
101483598,9265
101469032,53616
101464251,6856
101479231,1534
101487670,9043
101475764,9043
101468096,1951
101483693,10157
101484279,51188
101465552,84954
101476898,4257
101466601,1407
101475237,1407
101473884,8993
101483163,4784
101483776,6482
101481935,6482
101464078,6482
106676329,6482
106675817,6482
101484590,6482
112430261,6482
101484048,6482
112431560,6482
101485458,64386
101475688,5310
101479729,23542
101475476,9862
101471930,23221
101481471,54497
101483883,7095
112432562,6224
101466231,7812
101470198,9690
101466576,5980
101469684,10178
101487177,10747
101464367,389434
101478504,80342
101479092,29954
101487964,51534
101485752,51085
101477306,9031
101482781,10048
101484072,51513
101484498,83932
101467605,51603
101470968,8798
101468106,7756
101483742,7756
101465335,7384
112429904,83930
101481835,928
101471915,928
101472622,57467
101469332,57467
101485897,9918
101467447,25900
101474959,25900
101466459,56920
101467979,11188
101485984,23166
101471711,6540
101478779,6540
101484170,3423
101470533,5646
101465598,5646
101464216,920
101464809,10233
101467854,695
101470902,22955
101479859,2534
101474799,2534
101481513,3097
101480953,6924
101480371,11313
101482290,1185
101468579,9902
101484972,10867
101481610,10867
101469597,55727
101467998,9546
101486050,54903
101468819,51099
101483082,51099
101465481,3730
101476069,3730
101474495,3730
101464851,26993
101488110,54799
101471097,54799
101473546,51096
101471302,54476
101473505,54902
101482171,8193
101470916,9066
101476086,9066
101487309,23395
101481785,5286
101477591,58525
101473641,58525
101469317,23637
101469317,2844
101466608,1634
101475905,54814
101474380,5536
101466964,23177
101484057,8491
101472157,2556
101470273,672
101468887,2067
101473539,7869
101483191,51360
101473975,4007
101483054,4057
101467370,2137
101469323,9971
101471581,60481
101482427,240
101469246,57658
101469581,57658
101483353,55148
101469326,55148
101483142,30845
101482789,5704
101479470,23324
101483042,57709
101484678,5010
101483902,5010
101488127,9961
101483342,51667
101474811,5238
101480107,55703
101476766,23357
101480817,9604
101484776,9604
101481092,9604
101477732,1774
112431301,1774
101463894,1774
101484513,1663
101476177,50865
101472374,9052
101474812,23376
101477715,23649
101476221,23144
101468863,823
101468982,4190
101463565,4190
101473492,10463
101468852,10903
101470230,1355
101481127,440193
101481681,10138
101480430,10138
101478959,10771
101466950,7454
101483056,1800
101478493,9782
101465425,29881
101476059,64132
101478908,81551
101474274,23386
101475168,3670
101475567,55349
101482649,53832
101482386,55830
101479414,27032
101476517,3479
101465340,92745
101485643,10928
101486036,22902
101480807,1272
101478806,1272
101468014,8540
101481172,477
101477173,55622
101473107,8685
101475325,1591
101470390,56981
101482220,972
101470516,3082
101486965,3082
101475651,54764
101467619,54764
101481143,23154
101487898,25960
101482937,55734
101484546,4331
101470213,23034
101479820,864
112430055,4361
101479389,4361
101470600,58473
106676364,1992
112429781,1992
106676366,1992
106676364,1992
101472627,1992
101476786,64816
101471241,64816
101476506,64816
101478178,64816
101471528,64816
112435162,11136
101464823,11136
101483397,6683
101472618,6683
101487700,9369
101472907,114879
101481783,9716
101479159,1373
101481990,732
101474754,2273
101470974,2273
101483648,51507
112433298,51507
101464593,2554
101488062,57210
101465736,57210
101474143,9921
101482293,55778
101472071,64429
101470673,57476
101472159,4719
101470413,4719
101466197,9821
101483422,23071
101480657,211
101484124,330
101482225,11215
101479251,6617
101484323,51071
101476854,11171
101466063,50619
101465734,51177
101471170,51177
101473626,2730
101482606,23304
101476348,30846
101470158,30846
101478710,55635
101474745,25901
101485625,58528
101468251,3298
101478943,51230
101487674,10062
101472881,1890
101484091,29781
101464652,11231
101482643,23633
101473180,7431
101463633,355
101486922,8635
101480804,3755
101486335,56895
101479497,4285
101483725,5583
105940716,3459
101481349,3459
101476951,3459
101464985,11285
101486893,7444
101483002,55591
101475439,5452
101464014,5452
101476183,65980
101466512,6642
101483732,9519
101470055,56938
101476868,56938
101482178,55334
101476008,286
101476008,286
101470944,286
101487512,51106
101485627,9135
101466335,3149
112434176,23279
101482994,23279
101472176,4593
101478229,22807
106674782,2896
101468445,2896
111500504,2896
101465631,2896
101465835,2896
112430161,2896
101483969,51306
101483917,55166
101463977,6301
101472452,8498
101464646,5926
101475815,7260
101475479,10908
101465168,8100
101470141,56052
101487900,55596
101470313,10061
101470813,54480
101482552,57554
101465074,2530
101470852,55236
101486911,9846
101465343,535
101479892,535
101483967,8554
101487673,8554
101470792,9497
101481040,9497
101470185,321
101477051,321
101473794,28990
101479921,25897
112435145,11345
101471919,11345
101473761,11345
101469579,4653
101487896,4653
101483826,26751
101485386,84908
101469008,7414
101487661,7414
101486657,55789
101469529,23604
101474766,23604
101468940,8439
101480790,7077
101467613,7077
101476928,5981
101479081,55773
101466095,8452
101481184,8452
101482792,9172
101487203,9172
112436205,5009
101474296,5009
101484552,10858
101466901,10858
101484290,10858
111500322,10858
106676579,10858
101475754,26009
101478189,6570
101474574,9099
101466083,846
101484456,51121
101463681,2324
101476280,54888
101464952,54455
101465585,84245
101476098,4234
101472261,3224
101465374,175
101471902,55300
112429673,27430
101464146,27430
101479321,7092
101484455,23644
101473365,7204
101480954,1462
101475507,1462
101464342,23274
101471175,23517
101470622,79567
101465400,729
101465788,26064
101482697,11063
101480033,11284
101476759,54831
101473477,23035
101486323,54908
101464195,27067
101475446,54896
101476768,1497
101467044,65078
101483938,79142
101477094,1008
101469379,3631
101477876,3631
101472676,5874
101482832,5685
101478423,55341
101484653,10039
101470175,3371
101471364,3371
101487817,140876
101475183,55775
101470222,84883
101464429,56918
101485487,55812
101464696,9440
101478120,54884
101478468,822
101470963,1175
101481001,7399
106675906,10863
101469609,8538
101476699,54165
101471209,23338
101476297,7546
101486980,54802
101473122,9820
101477413,1495
101483861,54875
101464237,2042
112431538,3309
106674485,3309
101486440,3309
101482715,3309
101473653,1829
101482365,1829
101483749,1829
101475702,1829
101479078,8481
101487095,2824
101468845,51438
101464770,80243
101477365,22884
101470374,22884
101475190,64848
101474908,51606
101470057,5431
101481578,56204
101471482,7175
101467020,1356
101477780,23247
101474658,84062
101476532,7504
101487902,57101
101476100,57102
101474987,55841
101466894,395
101483583,395
101484284,27146
101484287,4134
101469991,4134
101472493,57120
101469367,57646
101466487,9734
101476572,26262
101485092,57545
101479048,50484
101465396,168850
101477387,92017
101483864,55885
101465921,55173
101487261,51773
101478293,55187
101484207,10659
101476386,10659
101482836,23196
101479613,23518
101482507,1298
101465508,4254
101480857,4254
101473009,1161
101487420,11174
101464302,9563
101475509,9341
101479865,8863
101484025,10911
101478063,55040
101463751,55040
101477739,4052
101483603,5954
101487225,5982
101467507,57492
101466968,81037
101477833,23327
101480574,3074
101469825,79810
101465799,51528
101482765,27122
101464835,27122
101485626,7984
101471350,9603
101486379,63933
101463960,51474
101464057,25875
101486851,9498
101469118,5733
101476882,5601
101473839,9564
101473491,84067
101473238,9709
101486743,9454
101481103,9454
101466567,5888
101471421,10721
101466374,5291
101470167,1535
101468795,84321
101470463,23593
101470616,23593
101469045,10198
101463790,54477
101487254,54477
101465739,80143
101475578,23223
101479801,6307
101468713,55761
101483540,60529
101473292,60529
101468025,23105
101463584,1112
101463581,728464
101480675,8574
101467748,8574
101477107,8574
101464966,51154
101469713,55850
101479617,23101
101485532,83714
101479482,55745
101481954,29945
101486863,27095
101476123,9967
101480383,9967
101477977,29085
101480120,954
101477672,954
101470668,4065
101478607,51742
101464711,23596
101473925,5798
101471027,5798
101479691,55733
101470824,23095
101474017,25771
101466757,57475
101482344,10079
101473389,23626
101486533,140689
101469148,23201
101467437,84957
101473828,2581
101488093,51602
101465613,26099
101478311,26099
101467662,3757
101485891,8454
101482539,10827
101468528,26999
101482482,23118
101483829,116254
101480895,5610
101467920,57602
101473080,55283
101483405,55283
101467130,114800
101467055,23369
101482538,84545
101466086,54969
101478240,51663
101481738,10886
101484523,10886
101480734,112885
101467216,54542
101478347,8908
101476324,131566
101487179,6646
101479702,5318
101476927,4438
101478353,2155
101466849,2155
101467144,2155
101483193,2665
101483799,639
101480416,9474
101481924,57458
101470771,57458
101480664,57095
101481965,57504
101482101,8975
101486052,23200
101477641,3918
101465160,5218
101465430,29927
101467346,29927
101484034,4659
101468493,5923
101475482,5923
101473593,816
101475499,816
101477294,55718
101473100,493
101465821,55781
101470031,54432
101469485,55706
101478098,1608
101483194,64718
101486083,6916
101479408,6916
101483646,64761
101466829,5832
101478244,5832
101484803,6894
101486870,5188
101466779,4084
101475021,5128
101482057,548645
106674792,6515
101483905,6515
101465952,6515
101487582,6515
101486561,5662
101469074,55359
101469996,55359
101478687,65125
101480095,55749
101478651,11054
101483965,84699
101485003,55650
101465983,10076
101477989,10076
101487450,9410
101474455,23504
101477975,23504
101481691,79832
101487785,51660
101465882,30
101486418,586
101467054,51564
101475151,51564
101481710,11178
101466389,7478
101464751,7478
101482438,10787
101467420,60488
101484121,2983
101474235,6433
101471999,23041
101464797,1001
101479144,1001
101470923,1001
101478192,416
101474830,416
101467333,416
101485008,84649
101471407,1431
101474554,64951
101468934,63916
101485449,23063
101473076,23063
101485842,81671
101466366,81671
105940701,10513
101484970,5424
101482153,124925
101477527,1975
101475284,29998
101482860,56848
101482569,6141
101465512,770
101475553,770
101485726,79763
101482804,11338
101478652,29924
101486599,29924
101475552,8776
112432976,8776
101466093,2817
101470345,2817
101487976,57143
101471104,3029
101468910,6047
101478690,22998
101483181,22998
101481814,55726
101478174,51768
101476507,1747
101470245,1747
101474881,8839
101483790,58524
101487557,4804
101487269,4804
101479466,50937
101467863,6873
101485411,28996
101473952,23534
101484601,8625
101485461,54929
101482875,9170
101483503,9170
101482934,5476
101465564,6558
101484039,6558
101484349,28966
101483071,2139
101467088,10347
101469855,9627
101471888,11218
101486175,53339
101485159,55711
101486803,5449
101481946,22904
