34839_GENEID,9606_GENEID
102020466,7105
102020142,64102
102024171,8813
102008386,57147
102008071,55732
102007181,2268
102008567,2519
102009808,2729
102006072,4800
102027710,90529
102028053,57185
102007655,81887
102029793,22875
102025393,6405
102016737,1080
102028325,54467
102027002,1595
102029319,889
102011082,5893
102014914,572
102008625,51056
102011594,9957
102026986,26
102007764,51384
102012167,23072
102021739,8379
102021409,3927
102008910,29916
102024808,55365
102023247,4074
102018975,90293
102023166,56603
102029102,3382
102022015,79007
102016967,57679
102021722,8837
102011608,7035
102005971,55471
102024380,10181
102025295,9108
102023960,6542
102022285,381
102004279,23098
102006912,26073
102012112,23129
102005553,204
102015316,952
102021997,2288
102014206,23028
102023074,10180
102017321,84254
102017214,5965
102009533,55610
102022805,126393
102020233,115703
102022507,4706
102018631,5166
102003374,51364
102003951,340273
102029430,10165
102014077,7982
102010582,996
102011722,6521
102009867,799
102006165,3052
102027735,1856
102018775,64063
102007269,5976
102028940,8935
102012240,292
102026545,55013
102007413,3207
102014745,5439
102028397,56919
102005658,4222
102003051,221981
102006246,3980
102030541,6296
102028764,81691
102027104,57019
102013841,56928
102012635,80256
102010016,51226
102017752,5577
102004007,10943
102018134,1387
102027599,9256
102028255,4353
102016942,5444
102015216,6936
102003257,84058
102004223,54677
102003926,5244
102006543,57414
102013559,30812
102010347,25998
102017943,23077
102019461,26224
102015535,3683
102016337,5164
102012721,3675
102004760,3920
102007079,3674
102018313,51666
102008150,51573
102009210,55049
102008882,9244
102016224,114881
102028537,26022
102008613,51087
102008370,9020
102010794,6833
102024018,10368
102018851,54972
102017016,163
102022114,6863
102027348,10127
102025717,6376
102003716,64847
102004345,8913
102007817,51330
102020943,1750
102008764,4293
102018164,5898
102029716,55971
102023162,80853
102018368,2115
102015858,55750
102008116,221
102024775,55001
102009585,57157
102007815,9855
102011530,10083
102020538,79017
102017371,10926
102012555,6915
102015613,3475
102011003,56891
102022268,1352
102017305,9569
102019892,27072
102004049,9912
102023131,60528
102016989,85477
102018307,8228
