10116_GENEID,9606_GENEID
302313,7105
64104,64102
296394,8813
360866,57147
498265,55732
79113,2268
292485,2519
25283,2729
29508,4800
500566,90529
502990,57185
296865,81887
301261,22875
315996,6405
24255,1080
368062,54467
25427,1595
362317,889
297561,5893
64639,572
289668,51056
652929,4267
84406,9957
312317,26
312316,26
297081,26
65029,26
500047,51384
291209,23072
680006,8379
29278,3927
303493,29916
297077,55365
100909548,4074
312689,4074
313445,90293
312495,56603
81024,3382
361437,79007
363235,57679
117279,8837
29436,7035
298748,55471
300996,10181
306490,9108
64554,6542
79117,381
287545,23098
287544,26073
312652,23129
24184,204
25668,952
260321,2288
500569,23028
315997,10180
60341,84254
312824,5965
312083,55610
100911994,55610
192245,126393
100362311,115703
293453,4706
89813,5166
363139,51364
314537,340273
317268,170302
362322,10165
296911,7982
360643,996
24779,6521
116506,799
317444,3052
303251,1856
302971,64063
684558,5976
155183,8935
25176,292
295462,55013
103692131,3207
100909443,3207
103692131,3207
288588,5439
287464,56919
363684,4222
500032,221981
303369,3980
300189,79657
24763,6296
309036,81691
307649,57019
362828,56928
298201,80256
360611,51226
24679,5577
317464,10943
54244,1387
287609,9256
303413,4353
84024,5444
312474,6936
103692166,84058
500226,84058
103692166,84058
500226,84058
83842,54677
170913,5244
24646,5244
24891,5244
311968,55904
360793,57414
302993,30812
315858,25998
286979,7748
685925,7748
680200,7748
290447,23077
306129,26224
308995,3683
81530,5164
360606,3675
24944,3920
685269,3674
500017,51666
60418,51573
306348,55049
290655,9244
303497,114881
303356,26022
303250,51087
450228,3883
303527,3883
360640,9020
25559,6833
140724,10368
338474,54972
140670,163
24806,6863
287076,10127
89808,6376
360604,64847
29717,8913
302965,51330
500023,1750
500690,4293
81757,5898
304282,55971
362733,2115
502749,55750
688778,221
309147,221
298300,55001
296762,57157
685958,10344
316639,9855
308596,10083
362368,79017
312046,10926
24816,6915
29596,3475
25476,56891
25475,56891
691853,1352
246770,9569
100912262,9569
361531,54623
306991,27072
303222,9912
282826,60528
298975,85477
363471,8228
312670,79602
60396,51265
108348323,51265
295620,151531
353251,10942
680407,57787
60357,8842
290642,115098
116711,90273
83572,5048
24599,4843
497963,4843
117251,1770
303280,9703
65202,9058
85246,8522
680465,79090
60450,4145
171055,974
25722,6329
295344,54879
689374,8277
108348261,8277
25509,5080
287148,113000
303008,64285
360503,55692
300992,9254
106146145,8938
360494,115939
287159,9091
287127,57585
294299,7005
25544,6401
362666,55735
84493,2328
306825,29116
114243,27035
684111,1870
94198,5689
24949,6853
681740,3720
100362725,6792
171358,57172
252879,728642
100125370,65220
301285,7021
301284,83741
501070,9940
116693,9265
57033,53616
366595,6856
303601,1534
360600,9043
83466,1951
296925,10157
100362241,55200
687029,51188
681944,84954
171341,4257
299691,1407
84387,8993
81524,4784
362924,6482
24650,5310
315220,23542
619436,9862
306004,23221
362683,54497
294912,7095
122772,6224
100362684,6224
100362684,6224
100362149,6224
100359951,6224
100359951,6224
100364335,7812
117180,7812
362294,9690
309812,5980
500574,5081
64459,10747
308129,389434
362618,199870
360900,80342
688673,29954
292640,51534
368002,9031
364686,10048
292101,83932
312721,8798
303763,7756
301011,7384
291182,83930
24936,928
301073,57467
362438,9918
362437,25900
25024,2696
364510,51533
290562,56920
306255,11188
100363145,23166
308577,80199
171163,6540
24691,5646
362347,5646
103690254,5646
25052,5646
408247,5646
102554637,5646
683849,5646
24932,920
100911585,10233
312707,10233
367901,695
29199,3077
362581,22955
25150,2534
29721,3097
25256,2326
25562,6924
83510,11313
295586,1185
498011,9902
117100,6534
312728,10867
362772,55727
83611,9546
287612,54903
316122,51099
299569,26993
688133,54799
303456,51096
304294,54476
691506,54902
302879,5725
50545,8193
59267,9066
363172,23395
361632,5286
50692,5329
363031,54443
307056,54443
314598,58525
311911,2844
311911,23637
29139,1634
292687,54814
65179,5536
289822,23177
170920,8491
688845,27033
361537,7305
378467,57146
24947,2556
497672,672
292673,2067
308501,933
363142,7869
302705,51360
317380,4007
301034,4057
56819,2137
60351,9971
171400,60481
25290,240
100312983,8284
246047,57658
100912282,57658
314399,55148
503027,11183
192249,30845
117262,5704
360955,23324
499587,57709
84588,5010
360636,51629
64681,9961
296731,51667
363109,5238
363110,112611
301434,1195
362858,55703
362765,23357
619577,9604
363522,1774
316767,1663
362454,50865
312790,9052
25752,923
360962,10460
313115,23376
85242,23649
300032,23144
29153,823
56780,55
24551,4190
498358,10463
689613,10903
309391,1355
362770,440193
690262,10138
291259,10771
317371,7454
94199,1800
64625,637
29150,9782
432367,29881
64134,64132
79423,81551
64444,3670
290551,55349
308716,53832
308015,1179
362053,22802
306253,55830
170699,27032
24482,3479
192208,92745
84014,10928
360921,22902
117258,1272
316519,6556
295062,25937
84114,8540
313433,63932
24212,477
298782,55622
300520,23584
171434,23187
367391,8685
25279,1591
690358,56981
80977,57586
25599,972
24446,3082
100360606,54764
89791,23154
100363275,25960
311661,55734
266713,4331
305826,23034
156726,864
64046,4361
64471,58473
306891,1992
102553010,1992
291091,1992
171352,64816
170509,64816
116726,11136
362700,6683
116508,9369
361686,114879
366163,9716
497840,1373
313421,732
25177,2273
296410,51507
29705,2554
684545,55655
315054,57210
288710,9921
500723,55778
361771,64429
300644,57476
100360501,6050
301458,4719
312927,9821
298066,23071
65155,211
78971,330
498549,11215
114022,51022
314228,6617
690945,51071
297699,11171
100910575,11171
25303,1244
309642,50619
310674,51177
29739,2730
363188,23304
361512,30846
295538,55635
361454,25901
297960,58528
64441,3298
311575,51230
286964,8630
286964,8630
100362350,8630
58852,10062
315219,1890
300149,29781
311621,10953
309858,11231
362607,23633
81818,7431
246097,355
292306,8635
25406,960
296395,3755
170919,56895
364049,57823
81684,4285
81749,5583
60663,3645
116465,3459
364675,11285
310688,9047
360991,7444
156767,7133
299738,55591
117058,5452
308067,65980
84471,6642
689030,9519
362464,56938
100911069,9774
293017,9774
314275,55334
306570,286
24477,3381
308140,51106
54190,9135
305373,3149
688583,3149
100912369,3149
305373,3149
688583,3149
311182,23279
116502,578
81725,4593
301476,22807
29143,2896
291694,51306
288093,57514
266975,6301
501281,8498
314205,5926
362721,7260
360753,10908
305918,8100
360475,56052
288661,55596
311959,10061
296733,54480
117284,57554
432392,2530
305268,55236
84477,9846
29757,535
300772,8554
117955,9497
83610,321
303200,5606
108348082,5606
103689956,5606
301957,79645
100364435,9168
363130,28990
362900,25897
83519,8504
100359937,11345
64670,11345
81523,4653
362724,26751
297415,84908
305679,7414
310074,55789
300799,23604
353233,8439
289276,159
305269,26228
29543,7077
89809,5981
304019,55773
301555,8452
306616,9172
25611,5009
362782,10858
310958,26009
25693,6570
115771,9099
24247,846
680991,27175
114110,2324
361191,54888
362646,54455
287299,4238
288912,84245
679091,4234
24460,3224
290923,175
305419,55300
207118,259282
683630,27430
678743,7092
361399,23644
310192,7204
114122,1462
287044,23274
498638,4481
83502,999
365668,23517
294854,1767
291974,79567
24237,729
294804,26064
689918,11063
308576,11284
364973,54831
498949,23035
303037,54908
362642,54896
287478,1497
113912,65078
360550,79142
29181,1008
80849,3631
84590,5874
29671,5685
192253,23026
288029,55341
300985,10039
116640,3371
362667,90326
688510,140876
314380,55775
361843,84883
192225,55812
300367,9440
246298,54884
297339,822
65046,1175
289369,7399
498415,11055
24826,7038
290344,10863
679701,8538
310324,54165
303113,23338
361096,7546
155918,3937
362586,54802
24925,153
64055,2981
108348250,9820
680835,9820
307505,1495
679640,54875
29210,2042
25617,3309
307562,1829
363462,54960
302661,8481
192179,2824
312912,80243
307075,22884
307446,64848
619580,56474
297797,51606
289561,5431
300836,56204
305367,116984
304862,7175
24268,1356
361646,23247
497078,7504
100361584,57101
297607,57102
317439,55841
100363276,395
289671,27146
309774,57120
25346,6098
315639,57646
687001,9734
306771,26262
498386,57545
299976,50484
500057,168850
287034,608
689142,92017
497798,55885
363187,55173
301233,2978
308839,51773
313825,55187
29428,10659
291019,23196
304763,23518
362584,1298
60427,4254
310071,1161
361886,11174
