GENEID_9483,GENEID_9606
100400873,64102
100413774,8813
100406690,2519
100404379,2729
100402210,4800
100388352,57185
100407382,6405
100387994,54467
100388944,889
100412880,572
100415444,51056
100392281,9957
100387388,51384
100404037,29916
100409522,4074
100406945,90293
100393102,56603
100402491,3382
100395302,79007
100394139,843
100393782,8837
100391706,7035
100397455,55471
100402537,10181
100397322,6542
100403216,381
100405742,204
100387937,952
100411442,2288
100406478,23028
100401936,10180
100412240,84254
100407958,4706
100407216,5166
100397243,85413
100408219,51364
100401767,10165
100409994,7982
100413185,996
100403307,6521
100390250,3052
100398229,1856
100388434,5976
100400546,8935
100387000,292
100392148,55013
100399669,56919
100405358,3980
100396431,79657
100386340,81691
100414366,57019
100405047,80256
100394872,5577
100408045,4353
100408915,5444
100386945,84058
100399460,54677
100398854,5244
100404135,25998
100413726,26224
100386753,3675
100398116,3920
100412182,51573
100408154,114881
100415583,26022
100410499,10368
100406267,54972
100398465,163
100413719,51330
100385131,4293
100398374,5898
100405152,80853
100394870,2115
100401650,55750
100396315,57157
100389077,79017
100406730,3475
100414136,1352
100411768,54623
100415708,9912
100408265,414
100385928,8228
100395451,8735
100405632,79602
100406327,57787
100386859,8842
100405955,115098
100392053,5048
100391575,1770
100410449,9058
100395810,8522
100404923,5080
100398039,113000
100390787,55692
100408198,115939
100412914,6401
100409983,55735
100414776,1870
100387609,6853
100400126,57172
100391830,65220
100396383,83741
100395237,53616
100407785,1534
100406944,9043
103788239,1951
100385723,10157
100402569,84954
100408307,1407
100403183,8993
100403401,4784
100400713,6482
100414447,23221
100399974,54497
100400956,7095
103787203,6224
100390037,7812
100406841,5081
100408774,10747
100414973,389434
100401587,80342
100400916,29954
100404509,51534
100387614,7756
100413740,7384
100397045,928
100402256,9918
100410438,2696
100391522,11188
100412068,23166
100395703,6540
100385000,920
100409513,22955
100391434,2534
100405228,3097
100409221,2326
100385353,11313
100392079,1185
100390570,6534
100413816,10867
100391075,9546
100404510,8193
100399595,5286
100394943,5329
100408696,2844
100408696,23637
100414496,5536
100396103,23177
100413973,8491
100390485,27033
100388186,672
100399191,2067
100385330,4007
100399865,4057
100400452,2137
100391012,9971
100403530,60481
100386217,240
100412028,57658
100397673,55148
100414579,30845
100387347,5704
100398794,57709
100399156,5010
100404033,51629
100406927,112611
100388155,9604
100385579,1774
100385839,50865
100386199,9052
100410295,10460
100412996,23649
100407634,55
100410987,1355
100385104,10771
100568451,9782
100385693,64132
100405297,81551
100896303,23386
100398783,55349
100386069,1179
100392991,55830
100394985,3479
100390070,10928
100397224,22902
100388929,6556
100401831,25937
100395942,8540
100407349,23187
100413352,57586
100404347,6591
100407145,972
100406645,54764
100415247,23154
100391084,55734
100407952,4331
100405463,11136
100408469,6683
100397426,9716
100402602,1373
100387250,2273
100399915,51507
100399989,57210
100385384,64429
100413081,4719
100414815,23071
100388038,211
100394101,51022
100412751,6617
100393682,11171
100405744,2730
100399288,58528
100391202,3298
100387390,8630
100388967,10062
100402420,29781
100401973,11231
100386067,23633
100408168,7431
100390361,3755
100414019,56895
100393887,4285
100410970,5583
100386516,3459
100397629,11285
100386111,7444
100409282,55591
100401406,6642
100401601,9519
100408876,9774
100413274,3381
100391680,51106
100388691,3149
100387945,578
100403694,22807
100400708,51306
100388896,55166
100409825,8498
100398985,5926
103793449,8100
100393693,2530
100403837,9846
100412131,535
100399947,8554
100403980,79645
108587665,9168
100405375,9168
100406324,8504
100393860,11345
100388509,26751
100401376,7077
100411902,8452
100389166,5009
100400413,26009
100393371,51121
100401134,54455
100388951,4234
100394328,175
100408979,55300
100407143,27430
100387589,23644
100386222,4481
100399268,23517
100398099,54831
100409942,23035
100409361,1497
100396234,3631
100395885,5874
100386493,5685
100387896,5685
100414580,3371
100388128,55775
100413590,55812
100414680,9440
100408626,1175
100398552,7399
100412877,8538
100387664,153
100405092,2042
100389117,3309
100404824,1829
100403304,54960
100389416,8481
100402221,2824
100412943,56474
100408708,51606
100398671,5431
100396209,56204
100415679,7175
100404354,1356
100404732,84062
100414751,7504
100415099,7504
100390896,57102
100399893,27146
100414623,57120
100413897,6098
100402269,57646
100410044,26262
100406418,50484
100397314,608
100397314,608
100390283,55885
100408987,2978
100388603,51773
100385830,55187
100391960,10659
100398882,23196
100410338,23518
100405504,1298
100410844,4254
100405074,1161
100397718,11174
100386191,9563
100394146,9341
100412493,3604
100410328,55040
100396246,5982
100399239,23327
100407865,3074
100415103,340533
100402383,51528
100389563,9498
100405082,79931
100387686,5601
100391559,9564
100399952,84067
100409704,9709
100391655,5291
100414967,1535
100400596,84321
100399905,23593
100387658,5652
100415129,80143
100398666,6307
100398758,55761
100398155,55761
100400832,23105
100385975,1112
100390634,51154
100386519,4826
100390357,55850
100413737,23101
100408606,29945
100388354,27095
100412544,954
100402350,4065
100402808,23596
100398675,10806
100401385,5798
100391857,57475
100415211,10079
100403185,23626
100397008,140689
100403588,25884
100403108,23201
100402600,51602
100401758,26099
100390571,10827
100388277,26999
100414129,23118
100412379,55283
100390681,23369
100386699,84545
100399369,54969
100410052,51663
100389116,7185
100407378,54542
100390719,10758
100412411,6317
100387443,6646
100409744,2665
100401970,639
100404382,9474
100401655,57458
100384989,57095
100397458,8975
100391008,5218
100413259,29927
100393191,4659
100413467,5923
100412100,9877
100385599,54432
100405880,6916
100405508,64761
100394646,5832
100395300,6894
100407016,4084
100414790,5128
100384915,548645
100390307,55749
100387454,2769
100392445,9410
100406634,79832
100404687,11178
100395297,2983
100401902,6433
100409090,10188
100412982,23041
100410283,65056
100413462,1431
100404547,64951
100407303,81671
100413309,10513
100387720,56848
100403300,6141
100388440,770
100394839,79763
100400743,11338
100388332,8776
100415034,3029
100402089,6047
100387476,1747
100398623,53340
100390675,58524
100389235,10402
100387462,8625
100390967,54929
100391457,9170
100386035,10147
100393963,6558
100388321,2139
100406168,9627
100393905,11218
100392911,8537
100407285,5449
100390166,1117
100398590,5378
100391342,10203
100397236,6882
100407169,8943
100895634,7629
100391030,4913
100400574,4942
100398373,10885
100390164,5586
100396529,9340
100405635,1606
100394576,3735
100387709,55633
108588099,4710
100385890,4710
100397407,23013
100409440,4638
100389545,55854
100387455,9892
